,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
0,name1,lastname1,November,26,1998,BS Legal Management,+639183026210,Female,Smart
1,name2,lastname2,May,26,2001,BS Management,+639272126276,Female,Globe
2,name3,lastname3,May,16,1997,BS Communications Technology Management,+639182537017,Female,Smart
3,name4,lastname4,December,9,1997,BS Information Technology Entrepreneurship,+639187144360,Male,Smart
4,name5,lastname5,September,5,1997,BS Communications Technology Management,+639274621674,Female,Globe
5,name6,lastname6,March,2,1999,BS Management,+639186295268,Female,Smart
6,name7,lastname7,November,10,1998,BS Legal Management,+639173697388,Female,Globe
7,name8,lastname8,August,28,1999,BS Management Engineering,+639172406000,Male,Globe
8,name9,lastname9,July,10,1997,BS Management Engineering,+639182265748,Male,Smart
9,name10,lastname10,September,14,2001,BS Communications Technology Management,+639183421717,Female,Smart
10,name11,lastname11,December,8,1998,BS Legal Management,+639277081308,Male,Globe
11,name12,lastname12,May,4,1997,BS Management Engineering,+639277475497,Male,Globe
12,name13,lastname13,January,28,1999,BS Communications Technology Management,+639179594490,Female,Globe
13,name14,lastname14,January,11,1999,BS Management,+639275434192,Female,Globe
14,name15,lastname15,June,6,1998,BS Information Technology Entrepreneurship,+639172119497,Male,Globe
15,name16,lastname16,April,20,1999,BS Legal Management,+639181855162,Male,Smart
16,name17,lastname17,January,3,1997,BS Information Technology Entrepreneurship,+639271468146,Female,Globe
17,name18,lastname18,April,8,1997,BS Management,+639275164280,Female,Globe
18,name19,lastname19,December,28,1997,BS Information Technology Entrepreneurship,+639279586909,Male,Globe
19,name20,lastname20,March,10,1997,BS Management Engineering,+639175149105,Male,Globe
20,name21,lastname21,July,13,1999,BS Legal Management,+639279847499,Female,Globe
21,name22,lastname22,September,15,1999,BS Information Technology Entrepreneurship,+639276993694,Male,Globe
22,name23,lastname23,April,15,1997,BS Management,+639173172478,Male,Globe
23,name24,lastname24,October,1,1997,BS Management Engineering,+639171593829,Male,Globe
24,name25,lastname25,May,6,1997,BS Management Engineering,+639188986972,Male,Smart
25,name26,lastname26,December,5,1999,BS Management Engineering,+639177964622,Male,Globe
26,name27,lastname27,March,4,1997,BS Communications Technology Management,+639271387580,Female,Globe
27,name28,lastname28,November,10,2000,BS Legal Management,+639171959244,Male,Globe
28,name29,lastname29,October,10,1999,BS Legal Management,+639176433996,Female,Globe
29,name30,lastname30,May,28,1999,BS Communications Technology Management,+639177583119,Male,Globe
30,name31,lastname31,April,6,1999,BS Information Technology Entrepreneurship,+639186694265,Male,Smart
31,name32,lastname32,July,16,1999,BS Management,+639177508539,Female,Globe
32,name33,lastname33,December,17,1999,BS Information Technology Entrepreneurship,+639272369504,Male,Globe
33,name34,lastname34,October,4,1999,BS Legal Management,+639174384447,Female,Globe
34,name35,lastname35,July,14,2001,BS Information Technology Entrepreneurship,+639177736035,Male,Globe
35,name36,lastname36,December,11,1998,BS Management,+639184554185,Male,Smart
36,name37,lastname37,February,2,2000,BS Management,+639278899252,Female,Globe
37,name38,lastname38,August,25,2001,BS Legal Management,+639278748083,Female,Globe
38,name39,lastname39,May,3,1997,BS Management Engineering,+639278423053,Male,Globe
39,name40,lastname40,February,27,1998,BS Legal Management,+639279231234,Male,Globe
40,name41,lastname41,November,16,1999,BS Management,+639183814956,Male,Smart
41,name42,lastname42,September,24,1998,BS Legal Management,+639186029278,Female,Smart
42,name43,lastname43,January,13,1999,BS Management,+639185326748,Female,Smart
43,name44,lastname44,February,25,1998,BS Information Technology Entrepreneurship,+639176541291,Male,Globe
44,name45,lastname45,January,27,1997,BS Management Engineering,+639182441683,Female,Smart
45,name46,lastname46,December,24,1998,BS Management Engineering,+639178181190,Female,Globe
46,name47,lastname47,August,23,1999,BS Management,+639174686425,Male,Globe
47,name48,lastname48,April,13,1999,BS Information Technology Entrepreneurship,+639186351688,Female,Smart
48,name49,lastname49,October,11,1997,BS Legal Management,+639178211896,Male,Globe
49,name50,lastname50,March,25,2001,BS Legal Management,+639279249506,Male,Globe
50,name51,lastname51,August,22,1998,BS Information Technology Entrepreneurship,+639188542626,Female,Smart
51,name52,lastname52,March,21,1999,BS Communications Technology Management,+639184389745,Female,Smart
52,name53,lastname53,December,15,2000,BS Management,+639178938235,Male,Globe
53,name54,lastname54,July,10,1998,BS Communications Technology Management,+639182165250,Female,Smart
54,name55,lastname55,May,8,1998,BS Management Engineering,+639172571057,Female,Globe
55,name56,lastname56,September,9,1998,BS Management Engineering,+639279495098,Male,Globe
56,name57,lastname57,May,9,2001,BS Communications Technology Management,+639277666306,Female,Globe
57,name58,lastname58,April,6,1997,BS Management Engineering,+639188518794,Female,Smart
58,name59,lastname59,April,24,1998,BS Information Technology Entrepreneurship,+639179012860,Male,Globe
59,name60,lastname60,August,26,1999,BS Information Technology Entrepreneurship,+639186815912,Male,Smart
60,name61,lastname61,September,8,1998,BS Communications Technology Management,+639183401320,Female,Smart
61,name62,lastname62,December,7,2000,BS Information Technology Entrepreneurship,+639275511326,Female,Globe
62,name63,lastname63,February,22,2000,BS Management Engineering,+639189754142,Male,Smart
63,name64,lastname64,November,13,1997,BS Information Technology Entrepreneurship,+639174661269,Female,Globe
64,name65,lastname65,March,23,1997,BS Management Engineering,+639276271302,Female,Globe
65,name66,lastname66,September,24,1997,BS Legal Management,+639175535101,Female,Globe
66,name67,lastname67,December,9,1997,BS Communications Technology Management,+639174425313,Male,Globe
67,name68,lastname68,November,4,2001,BS Management,+639277157133,Male,Globe
68,name69,lastname69,November,19,1998,BS Communications Technology Management,+639174484860,Male,Globe
69,name70,lastname70,May,12,1998,BS Legal Management,+639172551167,Female,Globe
70,name71,lastname71,August,19,1999,BS Communications Technology Management,+639184613486,Female,Smart
71,name72,lastname72,December,1,1999,BS Management,+639273477129,Male,Globe
72,name73,lastname73,June,21,1998,BS Management Engineering,+639184046593,Male,Smart
73,name74,lastname74,October,25,1997,BS Legal Management,+639277378051,Male,Globe
74,name75,lastname75,September,17,1998,BS Information Technology Entrepreneurship,+639273487430,Male,Globe
75,name76,lastname76,February,2,1997,BS Communications Technology Management,+639271884940,Female,Globe
76,name77,lastname77,May,19,2000,BS Communications Technology Management,+639189613285,Male,Smart
77,name78,lastname78,September,15,2000,BS Management,+639185105817,Female,Smart
78,name79,lastname79,December,23,2000,BS Legal Management,+639276686229,Male,Globe
79,name80,lastname80,August,10,1999,BS Communications Technology Management,+639272299686,Female,Globe
80,name81,lastname81,February,1,1997,BS Communications Technology Management,+639188736019,Male,Smart
81,name82,lastname82,November,22,1997,BS Communications Technology Management,+639183767811,Male,Smart
82,name83,lastname83,June,18,2000,BS Management Engineering,+639271184679,Female,Globe
83,name84,lastname84,February,28,1999,BS Information Technology Entrepreneurship,+639172362591,Female,Globe
84,name85,lastname85,January,10,1999,BS Legal Management,+639271281225,Female,Globe
85,name86,lastname86,November,21,1998,BS Management,+639185876655,Male,Smart
86,name87,lastname87,August,15,1998,BS Information Technology Entrepreneurship,+639189458163,Female,Smart
87,name88,lastname88,January,26,1997,BS Management Engineering,+639179086005,Male,Globe
88,name89,lastname89,March,26,1998,BS Information Technology Entrepreneurship,+639173679784,Female,Globe
89,name90,lastname90,March,15,1999,BS Information Technology Entrepreneurship,+639185016913,Male,Smart
90,name91,lastname91,August,16,1997,BS Information Technology Entrepreneurship,+639188231926,Female,Smart
